,N o .,R a s,N e g a r a,J e n i s,A s a l,B a d a n,B u l u,P o l a,K e t e r a n g a n,F o t o
117,118.0,Kucing tibetan,Belanda,Domestik,Persilangan,Sedang,Sedang,Solid/Cerpelai/Warna poin,,Berkas:Kucing Tibetan.jpg
118,119.0,Kucing tonkin,Kanada,Domestik,Persilangan,Sedang,Pendek,Warna poin/Cerpelai/Solid,,
119,120.0,Toybob,Rusia,Domestik,Mutasi genetik,Kecil,Pendek,Warna poin,Ras percobaan,Berkas:ToyBobtail.jpg
120,121.0,Toyger,Amerika Serikat,Domestik,Persilangan,Sedang,Pendek,Tutul/Tabi/Makarel/Marmer,,
121,122.0,Levkoy ukraina,Ukraina,Domestik,Persilangan,Sedang,Tanpa bulu,,,
122,123.0,Rex ural,Rusia,Domestik,Alami,Sedang,Rex,,,
123,124.0,Kucing ussuri,Rusia,Hibrida,Alami,Sedang,Pendek,Tutul dan garis,,Berkas:KucingUssuri.jpg
124,125.0,Van turki,Turki,Domestik,Alami,Sedang,Sedang,Van,,
125,126.0,Kucing york,Amerika Serikat,Domestik,Persilangan,Sedang,Panjang,,,
126,127.0,Kucing malaysia,Malaysia,Domestik,Alami,Sedang,Pendek,Warna poin (dengan putih),Ras percobaan,Berkas:Kucing Malaysia.jpg
127,128.0,Tiffanie australia,Australia,Domestik,Persilangan,Sedang,Sedang,,,Berkas:AustralianTiffanie.jpg
128,129.0,Suphalak,Thailand,Domestik,Alami,,Pendek,Solid,,
129,130.0,Serrade petit,Prancis,Domestik,Alami,,Pendek,,,
130,131.0,Sam sawet,Thailand,Domestik,Alami,,Pendek,Solid,,
131,132.0,Perfold,Eropa,Domestik,Persilangan,Pendek,Panjang,Semua,Ras percobaan,
132,133.0,Korn ja,Thailand,Domestik,Alami,,Pendek,Solid,,
133,134.0,Kucing lipat tiongkok,Tiongkok,Domestik,Alami,Pendek,Setengah panjang,Solid,Ras punah,
134,135.0,Bahraini dilmun,Bahrain,Domestik,Alami,,Pendek,,,Berkas:BahrainiDilmun.jpg
